Relevantní oznámení,URL
Veřejnoprávní smlouva o poskytnutí neinvestiční dotace ve výši 98 000,https://www.obectemelin.cz/seniori/urad/uredni-deska/
Rozpočet Obce Temelín,https://www.obectemelin.cz/seniori/urad/uredni-deska/
Schválený rozpočet Obce Temelín na rok 2022,https://www.obectemelin.cz/seniori/urad/uredni-deska/
Výhled rozpočtu Obce Temelín na období 2023 - 2024,https://www.obectemelin.cz/seniori/urad/uredni-deska/
Pravidla pro pohyb psů na veřejném prostranství,https://www.obectemelin.cz/seniori/urad/uredni-deska/
Zrušení poplatků ze psů,https://www.obectemelin.cz/seniori/urad/uredni-deska/
Evidenční karta psa,https://www.obectemelin.cz/seniori/urad/uredni-deska/
Rozpočty obce,https://www.hornizivotice.cz/uredni-deska/2
Rozpočty obce 2025,https://www.hornizivotice.cz/uredni-deska/2
Rozpočty obce za rok 2022,https://www.hornizivotice.cz/uredni-deska/2
Rozpočty obce za rok 2023,https://www.hornizivotice.cz/uredni-deska/2
Rozpočty obce za rok 2024,https://www.hornizivotice.cz/uredni-deska/2
Rozpočty obceZobrazit celou složku Střednědobý výhled rozpočtu obce na roky 2021 - 2025 [PDF,https://www.hornizivotice.cz/uredni-deska/2
Rozpočty obce 2025Zobrazit celou složku Rozpočtové opatření č,https://www.hornizivotice.cz/uredni-deska/2
Schválený rozpočet obce na rok 2025 [PDF,https://www.hornizivotice.cz/uredni-deska/2
Rozpočty obce za rok 2022Zobrazit celou složku Závěrečný účet obce Horní Životice za rok 2022 [PDF,https://www.hornizivotice.cz/uredni-deska/2
Schválený rozpočet obce na rok 2022 [PDF,https://www.hornizivotice.cz/uredni-deska/2
Rozpočty obce za rok 2023Zobrazit celou složku Rozpočtové opatření č,https://www.hornizivotice.cz/uredni-deska/2
Granty a dotace,https://www.mubruntal.cz/uredni-deska/2
o rozpočtových pravidlech územním  rozpočtů,https://www.mubruntal.cz/uredni-deska/2
Informace občanům - schválený rozpočet 2025,https://www.mubruntal.cz/uredni-deska/2
Program pro poskytování dotací z rozpočtu města Bruntál pro oblast sport - tělovýchovné spolky pro rok 2024Sdílet na FacebookuSdílet na XPoslat emailem Marie Dembovská,https://www.mubruntal.cz/uredni-deska/2
Program pro poskytování dotací z rozpočtu Města Bruntálu pro rok 2023 v oblasti sport - tělovýchovné spolkySdílet na FacebookuSdílet na XPoslat emailem Marie Dembovská,https://www.mubruntal.cz/uredni-deska/2
Program pro poskytování dotací z rozpočtu Města Bruntálu pro rok 2023 v oblasti  sport - jednorázové akceSdílet na FacebookuSdílet na XPoslat emailem Marie Dembovská,https://www.mubruntal.cz/uredni-deska/2
Program pro poskytování dotací z rozpočtu Města Bruntálu pro rok 2023 v oblasti kultura a ostatní činnostSdílet na FacebookuSdílet na XPoslat emailem Marie Dembovská,https://www.mubruntal.cz/uredni-deska/2
o rozpočtových pravidlech územních rozpočtů,https://www.mubruntal.cz/uredni-deska/2
Rozpočet,https://www.obec-krasikov.cz
Tábor je určen pro budoucí prvňáčky a školáky na 1,https://www.obec-krasikov.cz
Přehled schválených dotací z rozpočtu města Hodonína na rok 2024,https://www.hodonin.eu/uredni-deska/2
Rozpočet a střednědobý výhled rozpočtu města,https://www.hodonin.eu/uredni-deska/2
Smlouvy o poskytnutí dotace FO nepodnikajícím,https://www.hodonin.eu/uredni-deska/2
Smlouvy o poskytnutí dotace FO nepodnikajícím,https://www.hodonin.eu/uredni-deska/2
2026Program přidělování dotací na podporu EKO opatření na období let 2024 - 2026Milena Jurigová,https://www.hodonin.eu/uredni-deska/2
2025Program přidělování dotací a NFV na podporu kulturní infrastrukturyodbor _EaF,https://www.hodonin.eu/uredni-deska/2
2025Program přidělování dotací a NFV projektů rozvoje infrastruktury registrovaných sociálních služebodbor _EaF,https://www.hodonin.eu/uredni-deska/2
2025Program poskytování zápůjček a dotací ze stavebního fondu městaodbor _EaF,https://www.hodonin.eu/uredni-deska/2
2025Program přidělování dotací na podporu talentovaných dětí (mimo talentů sportovních)odbor _EaF,https://www.hodonin.eu/uredni-deska/2
2025Program přidělování dotací a návratných finančních výpomocí na podporu projektů rozvoje sportovní infrastrukturyodbor _EaF,https://www.hodonin.eu/uredni-deska/2
2025Program přidělování dotací na podporu sportu dětí a mládežeodbor _EaF,https://www.hodonin.eu/uredni-deska/2
2025Obecné zásady poskytování individuálních dotací z rozpočtu města Hodonínaodbor _EaF,https://www.hodonin.eu/uredni-deska/2
2025Program přidělování dotací na podporu pro-rodinných aktivitodbor _EaF,https://www.hodonin.eu/uredni-deska/2
2025Program přidělování dotací na podporu životního prostředí a zdravíodbor _EaF,https://www.hodonin.eu/uredni-deska/2
2025Program přidělování dotací na podporu kultury a cestovního ruchuodbor _EaF,https://www.hodonin.eu/uredni-deska/2
2025Program přidělování dotací na podporu sociální oblastiodbor _EaF,https://www.hodonin.eu/uredni-deska/2
2025Program přidělování dotací na podporu dětí a mládežeodbor _EaF,https://www.hodonin.eu/uredni-deska/2
2025Program přidělování dotací na podporu sportu v dospělých kategoriíchodbor _EaF,https://www.hodonin.eu/uredni-deska/2
2025Program přidělování dotací na podporu registrovaných sociálních služebodbor _EaF,https://www.hodonin.eu/uredni-deska/2
2026Program poskytování zápůjček a dotací ze stavebního fondu města a pravidla tohoto fonduMilena Jurigová,https://www.hodonin.eu/uredni-deska/2
energie,https://www.hodonin.eu/uredni-deska/2
